draw,vẽ,"She can draw complex diagrams to explain the system workflow.",daily-life,verb,"To produce a picture or diagram by making lines and marks on paper with a pencil, pen, etc."
paint,sơn; vẽ (bằng sơn),"He used a program to paint a digital portrait.",daily-life,verb,"To create a picture using paint; also to cover a surface with paint."
"--- Chủ đề: Giáo dục & Học tập ---",,"",,,""
student,học sinh; sinh viên,"He is a computer science student at a top university.",daily-life,noun,"A person who is studying at a school or college."
teacher,giáo viên,"His first programming teacher was very inspiring.",daily-life,noun,"A person who teaches, especially in a school."
class,lớp học,"The online class on machine learning starts at 7 PM.",daily-life,noun,"A course of instruction."
lesson,bài học,"Today's lesson is about database normalization.",daily-life,noun,"A period of time in which a person is taught about a subject or how to do something."
exam,kỳ thi,"He needs to study for his final exam.",daily-life,noun,"A formal test of a person's knowledge or proficiency in a subject. Short for 'examination'."
test,bài kiểm tra,"We need to write a unit test for this function.",daily-life,noun/verb,"A procedure intended to establish the quality, performance, or reliability of something."
homework,bài tập về nhà,"She helped her son with his math homework.",daily-life,noun,"Schoolwork that a student is required to do at home."
university,trường đại học,"She graduated from a well-known university.",daily-life,noun,"An institution of higher education and research which grants academic degrees."
library,thư viện,"The public library has a great collection of programming books.",daily-life,noun,"A building or room containing collections of books, periodicals, and sometimes films and recorded music for use or borrowing by the public."
"--- Chủ đề: Trang phục ---",,"",,,""
clothes,quần áo,"The company has a casual dress code, so you can wear comfortable clothes.",daily-life,noun,"Items worn to cover the body."
shirt,áo sơ mi,"He wore a clean shirt to the interview.",daily-life,noun,"A garment for the upper body."
pants,quần dài,"A comfortable pair of pants is important for a long day at the office.",daily-life,noun,"A garment worn on the lower part of the body, from the waist to the ankles. 'Trousers' in British English."
shoes,giày,"Please remove your shoes before entering the server room.",daily-life,noun,"A covering for the foot."
jacket,áo khoác,"The office is cold, so I always bring a jacket.",daily-life,noun,"A short coat."
hat,mũ; nón,"He wore a hat to protect himself from the sun.",daily-life,noun,"A covering for the head."
"--- Chủ đề: Sức khỏe & Y tế ---",,"",,,""
health,sức khỏe,"Good health is essential for productivity.",daily-life,noun,"The state of being free from illness or injury."
doctor,bác sĩ,"You should see a doctor if the pain continues.",daily-life,noun,"A person qualified to practice medicine."
medicine,thuốc; y học,"He forgot to take his medicine this morning.",daily-life,noun,"A drug or other preparation for the treatment or prevention of disease; also the science of healing."
sick,ốm; bị bệnh,"She called in sick because she had a fever.",daily-life,adjective,"Affected by physical or mental illness."
healthy,khỏe mạnh,"A healthy lifestyle includes a balanced diet and regular exercise.",daily-life,adjective,"In a good physical or mental condition."
pain,cơn đau; nỗi đau,"He felt a sharp pain in his back from sitting too long.",daily-life,noun,"A highly unpleasant physical sensation caused by illness or injury."
"--- Chủ đề: Giao tiếp & Hỏi đáp ---",,"",,,""
talk,nói chuyện,"We need to talk about the project's new requirements.",daily-life,verb,"To speak in order to give information or express ideas or feelings."
say,nói,"What did the manager say about the deadline?",daily-life,verb,"Use for uttering words in order to convey information, an opinion, etc. Often followed by the exact words."
tell,kể; bảo,"Can you tell me where the documentation is?",daily-life,verb,"Use for giving information to a person. Usually followed by an object (tell *someone* something)."
ask,hỏi,"Feel free to ask questions if you don't understand.",daily-life,verb,"Use for saying something in order to obtain information."
answer,trả lời,"He didn't answer my email about the bug report.",daily-life,verb/noun,"A thing said, written, or done to deal with a question, statement, or situation."
question,câu hỏi,"The FAQ section answers the most common questions.",daily-life,noun,"A sentence worded or expressed so as to elicit information."
explain,giải thích,"Could you explain this block of code to me?",general,verb,"To make an idea, situation, or problem clear to someone by describing it in more detail."
"--- Chủ đề: Trạng từ & Mô tả tần suất ---",,"",,,""
always,luôn luôn,"You should always commit your code with a clear message.",general,adverb,"Use to describe something that happens at all times (100% frequency)."
usually,thường xuyên,"The team usually has a daily stand-up meeting at 9 AM.",general,adverb,"Use for what normally or generally happens (approx. 80-90% frequency)."
often,thường,"We often use this library for data visualization.",general,adverb,"Use for something that happens frequently or many times."
sometimes,thỉnh thoảng,"The server sometimes restarts unexpectedly.",general,adverb,"Use for something that happens occasionally, but not regularly (approx. 20-40% frequency)."
rarely,hiếm khi,"He rarely asks for help, as he is very experienced.",general,adverb,"Use for something that does not happen often. 'Seldom' is a synonym."
never,không bao giờ,"Never store passwords in plain text in the database.",general,adverb,"Use for something that does not happen at any time (0% frequency)."
quickly,một cách nhanh chóng,"She quickly found the error in the code.",general,adverb,"At a fast speed; 'fast' can also be an adverb with the same meaning."
slowly,một cách chậm chạp,"The data is being processed slowly due to the large file size.",general,adverb,"At a slow speed."
"--- Chủ đề: Số lượng & Số đếm ---",,"",,,""
number,con số,"What is the total number of users?",general,noun,"An arithmetical value, expressed by a word, symbol, or figure."
one,một,"There is only one critical bug left to fix.",general,number,"The number 1."
two,hai,"This task will take two hours to complete.",general,number,"The number 2."
three,ba,"We have three options for the system architecture.",general,number,"The number 3."
ten,mười,"The free trial lasts for ten days.",general,number,"The number 10."
hundred,một trăm,"The script processed several hundred files.",general,number,"The number 100."
thousand,một nghìn,"The database contains thousands of records.",general,number,"The number 1,000."
many,nhiều (đếm được),"There are many ways to implement this feature.",general,determiner,"Use for a large number of countable nouns (e.g., computers, files, errors)."
much,nhiều (không đếm được),"We don't have much time before the release.",general,determiner,"Use for a large amount of an uncountable noun (e.g., time, data, information)."
few,một vài; rất ít (đếm được),"There are a few bugs we need to fix before deployment.",general,determiner,"Use for a small number of countable nouns. Implies 'not many'."
little,một chút; rất ít (không đếm được),"We have very little information about the user's request.",general,determiner,"Use for a small amount of an uncountable noun. Implies 'not much'."
some,một vài; một ít,"We need to do some refactoring on the old code.",general,determiner,"Use for an unspecified amount or number of something."
all,tất cả,"We need to test all the features before the release.",general,determiner,"Use to refer to the whole quantity or extent of a particular group or thing."

word,meaning,example,tag,type,use_when
"--- SECTION: TỪ VỰNG VỀ NGÀY THÁNG & LỊCH (DATES & CALENDAR) ---",,"",,,""
"--- Chủ đề: Các ngày trong tuần ---",,"",,,""
Monday,Thứ Hai,"The project sprint always starts on Monday.",daily-life,noun,"The first day of the working week."
Tuesday,Thứ Ba,"We have a team meeting every Tuesday morning.",daily-life,noun,"The second day of the working week."
Wednesday,Thứ Tư,"The new server maintenance is scheduled for Wednesday.",daily-life,noun,"The middle day of the working week."
Thursday,Thứ Năm,"Please submit your weekly report by Thursday evening.",daily-life,noun,"The day before Friday."
Friday,Thứ Sáu,"The company has a 'casual Friday' dress code.",daily-life,noun,"The last day of the working week for many people."
Saturday,Thứ Bảy,"He uses Saturday to study new programming languages.",daily-life,noun,"The first day of the weekend."
Sunday,Chủ Nhật,"The system performs an automated backup every Sunday.",daily-life,noun,"The second day of the weekend."
"--- Chủ đề: Các tháng trong năm ---",,"",,,""
January,Tháng Một,"The annual budget is finalized in January.",daily-life,noun,"The first month of the year."
February,Tháng Hai,"February is the shortest month of the year.",daily-life,noun,"The second month of the year."
March,Tháng Ba,"The first quarter of the fiscal year ends in March.",daily-life,noun,"The third month of the year."
April,Tháng Tư,"The new software version will be released in April.",daily-life,noun,"The fourth month of the year."
May,Tháng Năm,"The team will attend a conference in May.",daily-life,noun,"The fifth month of the year."
June,Tháng Sáu,"The second quarter results are announced in June.",daily-life,noun,"The sixth month of the year."
July,Tháng Bảy,"Many people take their summer vacation in July.",daily-life,noun,"The seventh month of the year."
August,Tháng Tám,"We plan to start the new project in August.",daily-life,noun,"The eighth month of the year."
September,Tháng Chín,"The new school year begins in September.",daily-life,noun,"The ninth month of the year."
October,Tháng Mười,"The product launch is planned for October.",daily-life,noun,"The tenth month of the year."
November,Tháng Mười Một,"We need to prepare the Q4 report in November.",daily-life,noun,"The eleventh month of the year."
December,Tháng Mười Hai,"The office will be closed for the holidays in late December.",daily-life,noun,"The last month of the year."
"--- Chủ đề: Các mùa ---",,"",,,""
season,mùa,"The rainy season can affect our internet connectivity.",daily-life,noun,"Each of the four divisions of the year (spring, summer, autumn, winter)."
spring,mùa xuân,"The company often hires new interns in the spring.",daily-life,noun,"The season after winter and before summer."
summer,mùa hè,"The office air conditioning works hard during the summer.",daily-life,noun,"The warmest season of the year."
autumn,mùa thu,"Productivity often increases in the autumn after the summer holidays.",daily-life,noun,"The season after summer and before winter. 'Fall' is a common synonym."
fall,mùa thu,"We will release the new feature in the fall.",daily-life,noun,"Synonym for Autumn, commonly used in American English."
winter,mùa đông,"The team needs to prepare for the winter sales campaign.",daily-life,noun,"The coldest season of the year."
"--- Chủ đề: Các khái niệm thời gian khác ---",,"",,,""
date,ngày tháng,"What is the exact date of the software deployment?",daily-life,noun,"A particular day of the month or year, specified by a number."
calendar,lịch,"Please check the team calendar for my availability.",daily-life,noun,"A chart or series of pages showing the days, weeks, and months of a particular year."
decade,thập kỷ,"Software development has changed a lot in the last decade.",daily-life,noun,"A period of ten years."
century,thế kỷ,"This algorithm was a major invention of the 20th century.",daily-life,noun,"A period of one hundred years."
annual,hàng năm,"The company holds an annual meeting for all employees.",general,adjective,"Occurring once every year."
quarterly,hàng quý,"We have a quarterly review of our project milestones.",business,adjective,"Occurring once every three months."
monthly,hàng tháng,"The database receives a monthly update.",general,adjective,"Occurring once a month."
weekly,hàng tuần,"Please submit your weekly progress report.",general,adjective,"Occurring once a week."
daily,hàng ngày,"The system performs a daily backup at midnight.",general,adjective,"Occurring every day."
duration,khoảng thời gian,"What is the estimated duration of the system maintenance?",general,noun,"The time during which something continues."
period,giai đoạn; kỳ,"We are entering a critical period of the project.",general,noun,"A length or portion of time."
dawn,bình minh,"The team worked from dawn until dusk to meet the deadline.",daily-life,noun,"The first appearance of light in the sky before sunrise."
dusk,hoàng hôn,"The server restart is scheduled for after dusk.",daily-life,noun,"The time at the end of the day just before dark."
midnight,nửa đêm,"The deployment script runs automatically at midnight.",daily-life,noun,"Twelve o'clock at night."
noon,buổi trưa,"Let's break for lunch at noon.",daily-life,noun,"Twelve o'clock in the day."
"--- SECTION: TỪ VỰNG VỀ TOÁN HỌC (MATHEMATICS) ---",,"",,,""
"--- Chủ đề: Các phép toán cơ bản ---",,"",,,""
add,cộng,"The function adds two numbers together.",math,verb,"To put two or more numbers or amounts together to get a total."
subtract,trừ,"You need to subtract the expenses from the revenue to find the profit.",math,verb,"To take one number away from another."
multiply,nhân,"To get the total cost, multiply the unit price by the quantity.",math,verb,"To add a number to itself a particular number of times."
divide,chia,"We need to divide the tasks among the team members.",math,verb,"To find out how many times a number contains another number."
calculate,tính toán,"The system will calculate the final score based on several parameters.",math,verb,"To determine the amount or number of something mathematically."
equal,bằng,"In this equation, X equals Y plus Z.",math,verb/adjective,"To be the same in quantity, size, degree, or value."
sum,tổng,"The function returns the sum of all elements in an array.",math,noun,"The total amount resulting from the addition of two or more numbers."
difference,hiệu số,"The difference between the estimated and actual cost was small.",math,noun,"The result of subtracting one number from another."
product,tích số,"The product of 5 and 4 is 20.",math,noun,"The result of multiplying two or more numbers."
quotient,thương số,"The quotient of 20 divided by 4 is 5.",math,noun,"The result of a division."
"--- Chủ đề: Hình học & Đo lường ---",,"",,,""
shape,hình dạng,"The button can be a square or a circle shape.",math,noun,"The external form or appearance of something."
circle,hình tròn,"The loading indicator is a spinning circle.",math,noun,"A round plane figure whose boundary consists of points equidistant from a fixed point (the center)."
square,hình vuông,"Each icon should be placed inside a 50x50 pixel square.",math,noun,"A plane figure with four equal straight sides and four right angles."
rectangle,hình chữ nhật,"The user interface is designed within a rectangular frame.",math,noun,"A plane figure with four straight sides and four right angles, with unequal adjacent sides."
triangle,hình tam giác,"A warning icon is often a triangle.",math,noun,"A plane figure with three straight sides and three angles."
line,đường kẻ,"Draw a line to separate the header from the content.",math,noun,"A long, narrow mark or band."
angle,góc,"The two lines meet at a 90-degree angle.",math,noun,"The space between two intersecting lines, measured in degrees."
length,chiều dài,"What is the maximum length of a username?",math,noun,"The measurement of something from end to end."
width,chiều rộng,"We need to set the width of the main container to 80%.",math,noun,"The measurement of something from side to side."
height,chiều cao,"The height of the image is automatically adjusted.",math,noun,"The measurement of someone or something from base to top."
measure,đo lường,"We need to measure the impact of this change on performance.",math,verb,"To ascertain the size, amount, or degree of something by using an instrument or device."
"--- Chủ đề: Số & Lượng ---",,"",,,""
digit,chữ số,"The password must contain at least one digit.",math,noun,"Any of the numerals from 0 to 9."
even,chẵn,"The system checks if the number is even or odd.",math,adjective,"An integer that is divisible by two."
odd,lẻ,"The loop iterates through the odd numbers in the list.",math,adjective,"An integer that cannot be divided exactly by two."
positive,dương,"The function only accepts positive numbers.",math,adjective,"A number greater than zero."
negative,âm,"A negative result indicates a loss.",math,adjective,"A number less than zero."
fraction,phân số,"The calculation resulted in a fraction.",math,noun,"A numerical quantity that is not a whole number (e.g., 1/2, 0.5)."
decimal,thập phân,"Please round the result to two decimal places.",math,noun,"A fraction whose denominator is a power of ten and whose numerator is expressed by figures placed to the right of a decimal point."
percent,phần trăm,"CPU usage is at 80 percent.",math,noun,"One part in every hundred. Used with a number (e.g. 50 percent)."
percentage,tỷ lệ phần trăm,"We need to calculate the percentage of successful transactions.",math,noun,"A rate, number, or amount in each hundred. Used without a specific number (e.g. what percentage?)."
"--- Chủ đề: Các khái niệm Toán & Thống kê khác ---",,"",,,""
equation,phương trình,"The prediction model is based on a complex mathematical equation.",math,noun,"A statement that the values of two mathematical expressions are equal."
formula,công thức,"The spreadsheet uses a formula to calculate the total.",math,noun,"A mathematical relationship or rule expressed in symbols."
average,trung bình,"The average response time of the API is 200ms.",math,noun/verb,"The result obtained by adding several amounts together and then dividing this total by the number of amounts."
total,tổng cộng,"The script calculates the total number of lines in the file.",math,noun/adjective,"The complete number or amount of something."
maximum,tối đa; cực đại,"What is the maximum file size for an upload?",math,adjective/noun,"The greatest amount or level possible or permitted."
minimum,tối thiểu; cực tiểu,"The password must have a minimum length of 8 characters.",math,adjective/noun,"The smallest amount or level possible or permitted."
graph,đồ thị,"The graph shows a steady increase in user engagement.",math,noun,"A diagram showing the relation between variable quantities."
chart,biểu đồ,"This pie chart illustrates the market share of our competitors.",math,noun,"A sheet of information in the form of a table, graph, or diagram."
axis,trục,"The X-axis represents time, and the Y-axis represents sales.",math,noun,"A fixed reference line for the measurement of coordinates."
value,giá trị,"The function returns a boolean value (true or false).",math,noun,"The numerical amount denoted by an algebraic term; a magnitude, quantity, or number."
variable,biến số,"In the equation y = 2x, 'x' is the independent variable.",math,noun,"A quantity that may change within the context of a mathematical problem."
word,meaning,example,tag,type,use_when
"--- SECTION: TỪ VỰNG GIAO TIẾP CÔNG TY & KHÁCH HÀNG (IT) ---",,"",,,""
"--- Chủ đề: Bắt đầu dự án & Thỏa thuận (Project Initiation & Agreement) ---",,"",,,""
inquiry,yêu cầu (hỏi thông tin),"We received an inquiry from a potential client about our services.",business,noun,"Use for an initial question or request for information before a formal project."
proposal,bản đề xuất,"The sales team prepared a detailed proposal for the new client.",business,noun,"Use for a formal document outlining a plan, scope, and cost for a project."
quote,báo giá,"Please provide a quote for the development of a new mobile application.",business,noun,"Use for a formal statement of the estimated cost for a particular job or service. Often part of a proposal."
estimate,bản ước tính,"The initial estimate for the project is three months.",business,noun/verb,"A rough calculation of the cost, time, or size of something."
scope,phạm vi,"Changing the requirements now is outside the initial scope of the project.",business,noun,"The extent of the area or subject matter that something deals with or to which it is relevant."
scope creep,phát sinh phạm vi,"We need to manage the client's expectations to avoid scope creep.",it,noun,"When a project's scope expands beyond its initial objectives without additional time or budget."
kick-off meeting,cuộc họp khởi động,"The kick-off meeting with all stakeholders is scheduled for Monday.",business,noun,"The first official meeting to start a project and introduce the team."
stakeholder,bên liên quan,"We need to keep all stakeholders informed about the project's progress.",business,noun,"A person with an interest or concern in something, especially a business or project."
contract,hợp đồng,"Please review and sign the contract before we begin the work.",business,noun,"A written or spoken agreement, especially one concerning employment or sales, that is intended to be enforceable by law."
agreement,thỏa thuận,"We have reached an agreement on the project's timeline.",business,noun,"A negotiated and typically legally binding arrangement between parties."
SLA (Service Level Agreement),thỏa thuận mức độ dịch vụ,"The SLA guarantees a 99.9% system uptime.",it,noun,"A contract between a service provider and a client that defines the level of service expected."
NDA (Non-Disclosure Agreement),thỏa thuận bảo mật,"All employees must sign an NDA to protect confidential information.",business,noun,"A legal contract establishing confidentiality between at least two parties."
"--- Chủ đề: Lập kế hoạch & Quản lý (Planning & Management) ---",,"",,,""
roadmap,lộ trình,"The product roadmap shows the planned features for the next two years.",business,noun,"A plan or strategy intended to achieve a particular goal, often visualized over time."
timeline,tiến độ; dòng thời gian,"The project timeline is very tight.",business,noun,"A graphical representation of a period of time, on which important events are marked."
resource,nguồn lực,"We don't have enough developer resources to start another project.",business,noun,"A stock or supply of money, materials, staff, and other assets that can be drawn on."
allocate,phân bổ,"The project manager will allocate tasks to each team member.",business,verb,"To distribute resources or duties for a particular purpose."
delegate,ủy thác; giao việc,"A good manager knows how to delegate tasks effectively.",business,verb,"To entrust a task or responsibility to another person."
priority,sự ưu tiên,"Fixing this critical bug is our top priority.",business,noun,"A thing that is regarded as more important than another."
prioritize,ưu tiên hóa,"We need to prioritize tasks based on their urgency and impact.",business,verb,"To determine the order for dealing with a series of items or tasks."
dependency,sự phụ thuộc,"There is a dependency between the front-end and back-end tasks.",it,noun,"When one task cannot be started or completed until another task is finished."
blocker,yếu tố cản trở,"Lack of server access is a blocker for the deployment team.",it,noun,"An issue that completely prevents progress on a task or project. Synonym of 'impediment'."
impediment,trở ngại,"Please report any impediments during the daily stand-up meeting.",it,noun,"A hindrance or obstruction in doing something. Similar to 'blocker'."
risk,rủi ro,"A potential security vulnerability is a major risk for this project.",business,noun,"A situation involving exposure to danger or loss."
mitigate,giảm thiểu; làm dịu,"We implemented extra security measures to mitigate the risk of data breaches.",business,verb,"To make something bad less severe, serious, or painful."
"--- Chủ đề: Giao tiếp & Họp (Communication & Meetings) ---",,"",,,""
agenda,chương trình nghị sự,"The agenda for the meeting was sent out yesterday.",business,noun,"A list of items to be discussed at a formal meeting."
minutes,biên bản cuộc họp,"Sarah will be taking minutes during the client call.",business,noun,"A summarized written record of what was said at a meeting."
follow-up,theo dõi; tiếp nối,"I will send a follow-up email to summarize our discussion.",business,noun/verb,"Further action connected with something that has happened before."
confirm,xác nhận,"Can you confirm that you have received the files?",business,verb,"To state or show that something is definitely true or correct."
clarify,làm rõ,"Could you please clarify what you mean by 'system integration'?",business,verb,"To make a statement or situation less confused and more comprehensible."
feedback,phản hồi,"We need to get feedback from the users on the new interface.",business,noun,"Information about reactions to a product or a person's performance, used as a basis for improvement."
suggestion,sự đề nghị; gợi ý,"Do you have any suggestions for improving the workflow?",business,noun,"An idea or plan put forward for consideration."
concern,mối lo ngại,"The client raised a concern about the project's deadline.",business,noun,"A matter of interest or importance to someone; a feeling of worry."
issue,vấn đề,"We have a known issue with the login page on mobile devices.",it,noun,"An important topic or problem for debate or discussion. More general than 'bug'."
escalate,leo thang; chuyển cấp,"If you cannot resolve the issue, you need to escalate it to the project manager.",business,verb,"To increase in intensity or seriousness; to raise an issue to a higher level of authority."
update,cập nhật,"Please give me a quick update on your progress.",business,noun/verb,"The most recent information about something."
status,trạng thái,"What is the current status of the server migration?",business,noun,"The relative social, professional, or other standing of someone or something; the current state."
"--- Chủ đề: Thảo luận kỹ thuật & Hỗ trợ (Technical Discussion & Support) ---",,"",,,""
troubleshoot,xử lý sự cố,"The support team is troubleshooting the network issue.",it,verb,"To analyze and solve serious problems for a company or other organization."
diagnose,chẩn đoán (lỗi),"We need to diagnose the root cause of the performance drop.",it,verb,"To identify the nature of a problem by examination."
workaround,giải pháp tạm thời,"The developer provided a workaround while he works on a permanent fix.",it,noun,"A method for overcoming a problem or limitation in a program or system."
patch,bản vá lỗi,"The security patch must be applied to all servers immediately.",it,noun,"A piece of code inserted into a program to correct a fault or update it."
hotfix,bản vá nóng,"A hotfix was deployed to solve the critical payment issue.",it,noun,"A critical patch that is often applied to a live system with little to no downtime."
release,bản phát hành,"The next software release is scheduled for Q3.",it,noun,"A version of a software product made available to the public or a client."
demo,bản trình diễn,"We will give the client a demo of the new features on Friday.",it,noun,"A demonstration of a product or software."
walkthrough,hướng dẫn chi tiết,"The senior developer gave us a walkthrough of the new architecture.",it,noun,"A step-by-step demonstration or explanation of a process or system."
onboarding,quy trình giới thiệu,"The onboarding process for new clients includes a training session.",business,noun,"The process of integrating a new employee or client into an organization or system."
user acceptance testing (UAT),kiểm thử chấp nhận người dùng,"The feature will be released after it passes UAT.",it,noun,"The last phase of the software testing process where clients/users test to see if it works for them."
ticket,phiếu hỗ trợ,"Please create a support ticket for this issue.",it,noun,"A record in a help desk system that documents a reported problem and its resolution."
"--- Chủ đề: Đánh giá & Hoàn thành (Review & Completion) ---",,"",,,""
deliverable,sản phẩm bàn giao,"The main deliverable for this phase is a working prototype.",business,noun,"A tangible or intangible good or service produced as a result of a project."
handover,bàn giao,"The project handover to the maintenance team will happen next week.",business,noun,"The act of giving responsibility for something to another person, team, or organization."
sign-off,phê duyệt cuối cùng,"We need the client's sign-off on the design before we start coding.",business,noun,"To give formal approval or consent to something."
invoice,hóa đơn,"The finance department will send the invoice at the end of the month.",business,noun,"A list of goods sent or services provided, with a statement of the sum due for these."
payment terms,điều khoản thanh toán,"Our standard payment terms are 30 days from the invoice date.",business,noun,"The conditions under which a seller will complete a sale, including the period allowed to a buyer to pay."
testimonial,lời chứng thực; nhận xét,"A positive testimonial from a happy client is great for marketing.",business,noun,"A formal statement testifying to someone's character and qualifications or the value of a product."
case study,nghiên cứu tình huống,"We wrote a case study about the successful implementation of our software.",business,noun,"A detailed account of a company, project, or person, used as an example or analysis."
"--- Chủ đề: Các thuật ngữ giao tiếp chung (General Communication Terms) ---",,"",,,""
as per,theo như,"As per our discussion, I have updated the project timeline.",business,phrase,"In accordance with; according to."
heads-up,báo trước,"Just a heads-up, the server will be down for maintenance tonight.",business,noun,"An advance warning of something."
to be on the same page,cùng chung quan điểm,"Let's have a quick meeting to make sure we are all on the same page.",business,idiom,"To have a shared understanding of a situation."
in charge of,phụ trách,"Who is in charge of the database administration?",business,phrase,"Having control or responsibility for something."
responsible for,chịu trách nhiệm về,"The QA team is responsible for testing the application.",business,adjective,"Having an obligation to do something as one's duty."
objective,mục tiêu,"The main objective of this meeting is to finalize the design.",business,noun,"A thing aimed at or sought; a goal. Often more specific than 'goal'."
confidential,bảo mật,"This report contains confidential client data.",business,adjective,"Intended to be kept secret."
urgent,khẩn cấp,"This is an urgent request from our biggest client.",business,adjective,"Requiring immediate action or attention."
professional,chuyên nghiệp,"Please maintain a professional tone in all client communications.",business,adjective,"Relating to a job that requires special education or training; competent and skillful."
courtesy,lịch sự,"It's a common courtesy to inform the team if you are running late.",business,noun,"The showing of politeness in one's attitude and behavior toward others."
word,meaning,example,tag,type,use_when
"--- SECTION: TỪ VỰNG GIAO TIẾP ĐỒNG NGHIỆP (COLLEAGUE COMMUNICATION) ---",,"",,,""
"--- Chủ đề: Tương tác hàng ngày & Trao đổi nhanh ---",,"",,,""
catch up,họp nhanh để cập nhật,"Let's catch up after lunch to discuss the project status.",business-communication,phrasal verb,"Use for an informal meeting to get the latest updates from a colleague."
sync up,đồng bộ thông tin,"We need to sync up with the backend team about the new API endpoints.",business-communication,phrasal verb,"Similar to 'catch up', but often implies aligning two or more parties on a specific technical topic."
touch base,trao đổi nhanh,"I just wanted to touch base with you about the email from our client.",business-communication,phrasal verb,"Use for a brief, quick check-in to maintain contact or get a quick update."
rundown,bản tóm tắt nhanh,"Can you give me a quick rundown of what was decided in the meeting?",business-communication,noun,"Use when asking for a summary of information or events."
briefing,cuộc họp báo cáo nhanh,"The morning briefing helps the team prioritize their tasks for the day.",business-communication,noun,"A meeting for giving or receiving information or instructions."
heads-up,báo trước,"Just a heads-up, the client will be visiting our office tomorrow.",business-communication,noun,"An advance warning about something so people can prepare."
on my plate,đang bận rộn với,"I have too much on my plate right now to take on a new task.",business-communication,idiom,"Used to describe the amount of work you currently have to do."
swamped,ngập trong công việc,"I'm completely swamped with bug reports this week.",business-communication,adjective,"Use to express that you are extremely busy and have too much work."
"--- Chủ đề: Hợp tác & Hỗ trợ ---",,"",,,""
collaborate,hợp tác,"We need to collaborate closely with the design team on this feature.",business-communication,verb,"To work jointly on an activity or project."
coordinate,phối hợp,"Please coordinate with the QA team to schedule the testing phase.",business-communication,verb,"To organize different elements of a complex body or activity so as to enable them to work together effectively."
pitch in,đóng góp; tham gia giúp,"If we all pitch in, we can finish this deployment ahead of schedule.",business-communication,phrasal verb,"To willingly join in to help with a task or to contribute something."
cover for (someone),làm thay (ai đó),"Could you cover for me during the meeting? I have a doctor's appointment.",business-communication,phrasal verb,"To do someone's work or duties while they are away."
give a hand,giúp một tay,"Can you give me a hand with this configuration file? I'm stuck.",business-communication,idiom,"To help someone with something."
back someone up,hỗ trợ ai đó,"Don't worry, I'll back you up in the meeting if the client has difficult questions.",business-communication,phrasal verb,"To provide support or help to someone."
brainstorm,động não,"Let's brainstorm some ideas for the new product name.",business-communication,verb,"To hold a group discussion to produce ideas and ways of solving problems."
input,ý kiến đóng góp,"I'd like to get your input on the new UI design.",business-communication,noun,"Contribution of information, opinions, or ideas to a discussion or project."
"--- Chủ đề: Đưa ra & Nhận Phản hồi ---",,"",,,""
constructive criticism,phê bình mang tính xây dựng,"He gave me some constructive criticism that really helped improve the code.",business-communication,noun,"Advice and criticism that is useful and intended to help or improve."
praise,khen ngợi,"The manager gave her praise for handling the difficult client so well.",business-communication,noun/verb,"To express warm approval or admiration of someone's work."
compliment,lời khen,"He paid me a compliment on my presentation skills.",business-communication,noun/verb,"A polite expression of praise or admiration, often more casual than 'praise'."
kudos,lời tán dương, khen ngợi,"Kudos to the entire team for launching the project on time.",business-communication,noun,"Praise and honor received for an achievement. Often used informally."
appreciate,cảm kích; đánh giá cao,"I really appreciate you staying late to help me finish the report.",business-communication,verb,"To recognize the full worth of; to be grateful for something."
acknowledge,công nhận,"It's important to acknowledge the hard work of your colleagues.",business-communication,verb,"To accept or admit the existence or truth of; to recognize the importance of."
point out,chỉ ra,"Thank you for pointing out the typo in the documentation.",business-communication,phrasal verb,"To draw attention to a particular piece of information."
"--- Chủ đề: Bày tỏ Quan điểm & Thảo luận ---",,"",,,""
perspective,góc nhìn,"From my perspective, a simpler solution would be more reliable.",business-communication,noun,"A particular attitude toward or way of regarding something; a point of view."
viewpoint,quan điểm,"I understand your viewpoint, but let's consider the performance impact.",business-communication,noun,"A person's opinion or point of view."
weigh in,nêu ý kiến,"I'd like everyone to weigh in on this decision.",business-communication,phrasal verb,"To join in a discussion or argument by offering an opinion."
agree to disagree,đồng ý là không đồng ý,"We have different approaches, so let's just agree to disagree and find a compromise.",business-communication,idiom,"A way to resolve a conflict by accepting that you have different opinions."
common ground,điểm chung,"Despite our different ideas, we found common ground on the project's main goal.",business-communication,noun,"Opinions or interests shared by two or more people."
compromise,sự thỏa hiệp,"We reached a compromise by reducing the feature's scope to meet the deadline.",business-communication,noun/verb,"An agreement or a settlement of a dispute that is reached by each side making concessions."
"--- Chủ đề: Lên lịch & Sắp xếp ---",,"",,,""
availability,thời gian rảnh,"Please let me know your availability for a quick call next week.",business-communication,noun,"The state of being free to do something."
pencil in,ghi chú tạm thời (lịch hẹn),"I'll pencil in a meeting for Thursday at 10 AM, but please confirm if that works.",business-communication,phrasal verb,"To make a tentative arrangement or appointment."
tentative,dự kiến; không chắc chắn,"The tentative date for the team outing is next Friday.",business-communication,adjective,"Not certain or fixed; provisional."
reschedule,đặt lại lịch,"Can we reschedule our meeting to tomorrow afternoon?",business-communication,verb,"To change the time of a planned event."
postpone,trì hoãn,"We had to postpone the release due to a last-minute critical bug.",business-communication,verb,"To cause or arrange for something to take place at a time later than that first scheduled."
"--- Chủ đề: Giao tiếp xã hội & Ngoài công việc ---",,"",,,""
